min_Dtotal,row_distance,column_distance
113.196187320759,0.737249770431589,112.458937550327
113.328496230304,0.739889807162534,112.588606423142
113.100307691306,0.739889807162534,112.360417884144
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.100307691306,0.739889807162536,112.360417884144
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.100307691306,0.739889807162534,112.360417884144
113.196187320759,0.737249770431589,112.458937550327
113.214401960805,0.739889807162534,112.474512153643
113.196187320759,0.737249770431589,112.458937550327
113.214401960805,0.739889807162534,112.474512153643
113.196187320759,0.737249770431589,112.458937550327
113.060987295201,0.743360881542699,112.317626413658
113.196187320759,0.737249770431589,112.458937550327
113.328496230304,0.739889807162534,112.588606423142
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.289175834199,0.743360881542699,112.545814952656
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
